timestamp,open,high,low,close,volume,buy_vol,sell_vol
1778976000000,41.81,42.23,41.67,41.79,0.0,0.0,0.0
1778979600000,41.79,41.85,41.38,41.45,0.0,0.0,0.0
1778983200000,41.45,41.64,41.35,41.46,0.0,0.0,0.0
1778986800000,41.46,42.69,41.45,42.4,0.0,0.0,0.0
1778990400000,42.4,42.88,41.9,42.36,0.0,0.0,0.0
1778994000000,42.37,42.86,42.31,42.7,0.0,0.0,0.0
1778997600000,42.69,42.81,42.43,42.57,0.0,0.0,0.0
1779001200000,42.57,42.99,42.45,42.78,0.0,0.0,0.0
1779004800000,42.78,42.91,42.59,42.8,0.0,0.0,0.0
1779008400000,42.81,42.98,42.75,42.96,0.0,0.0,0.0
1779012000000,42.96,43.5,42.85,43.36,0.0,0.0,0.0
1779015600000,43.36,43.47,42.9,42.9,0.0,0.0,0.0
1779019200000,42.9,43.22,42.71,43.19,0.0,0.0,0.0
1779022800000,43.18,43.28,42.5,42.83,0.0,0.0,0.0
1779026400000,42.83,43.55,42.7,43.41,0.0,0.0,0.0
1779030000000,43.42,44.0,43.24,43.58,0.0,0.0,0.0
1779033600000,43.58,43.93,43.4,43.54,0.0,0.0,0.0
1779037200000,43.54,43.99,43.37,43.9,0.0,0.0,0.0
1779040800000,43.91,45.59,43.85,45.49,0.0,0.0,0.0
1779044400000,45.48,47.13,45.28,46.69,0.0,0.0,0.0
1779048000000,46.7,47.08,46.08,46.42,0.0,0.0,0.0
1779051600000,46.43,47.3,46.32,47.02,0.0,0.0,0.0
1779055200000,47.01,47.02,45.87,46.14,0.0,0.0,0.0
1779058800000,46.13,46.14,44.65,45.68,0.0,0.0,0.0
1779062400000,45.68,46.94,45.35,46.92,0.0,0.0,0.0
1779066000000,46.92,46.97,45.69,46.05,0.0,0.0,0.0
1779069600000,46.04,46.17,45.39,45.55,0.0,0.0,0.0
1779073200000,45.56,45.91,45.02,45.48,0.0,0.0,0.0
1779076800000,45.47,46.08,45.14,45.84,0.0,0.0,0.0
1779080400000,45.83,45.97,45.38,45.41,0.0,0.0,0.0
1779084000000,45.4,45.5,44.94,45.37,0.0,0.0,0.0
1779087600000,45.37,45.53,44.82,45.27,0.0,0.0,0.0
1779091200000,45.27,45.88,45.22,45.8,0.0,0.0,0.0
1779094800000,45.82,45.88,44.78,45.25,0.0,0.0,0.0
1779098400000,45.25,45.57,45.18,45.29,19089345.354,9398591.029,9690754.325
1779102000000,45.3,45.77,44.98,45.49,9235803.335,4404310.498,4831492.837
1779105600000,45.5,46.04,45.37,45.87,17394551.358999997,8830693.256,8563858.103
1779109200000,45.88,46.25,45.28,45.97,22171676.824,12136136.401,10035540.423
1779112800000,45.97,46.03,44.47,44.68,25825525.783,13683665.748,12141860.035
1779116400000,44.69,45.23,44.2,44.74,32921312.571000002,15275759.819,17645552.752
1779120000000,44.73,45.16,44.69,45.09,32683794.296,16195951.567,16487842.729
1779123600000,45.09,45.58,45.08,45.52,14872433.343,6668636.428,8203796.915
1779127200000,45.52,45.68,44.8,44.94,9801548.257,5294181.803,4507366.454
1779130800000,44.94,46.42,44.92,46.4,11480056.885,4869945.291,6610111.594
1779134400000,46.4,46.61,45.69,45.87,22996795.318,13339130.433,9657664.885
1779138000000,45.86,47.96,45.8,47.18,12024516.868,5980872.249,6043644.619
1779141600000,47.19,47.59,46.69,47.14,39566381.58,22214144.622,17352236.958
1779145200000,47.14,47.82,47.14,47.73,16598915.346,7867145.595,8731769.751
1779148800000,47.73,48.6,47.57,48.15,19110426.655,8546623.892,10563802.763
1779152400000,48.15,48.16,47.12,47.2,33187430.152,18267131.661,14920298.491
1779156000000,47.21,47.5,46.84,47.4,19429465.009999998,9192997.366,10236467.644
1779159600000,47.39,47.96,47.21,47.75,18595700.956,8350230.124,10245470.832
1779163200000,47.75,48.33,47.44,47.46,11881910.159,6436567.589,5445342.57
1779166800000,47.46,47.63,47.19,47.54,14397780.803,8006754.434,6391026.369
1779170400000,47.54,47.82,47.46,47.6,9178116.868,5007989.487,4170127.381
1779174000000,47.59,48.38,47.53,47.81,5365272.488,2749420.388,2615852.1
1779177600000,47.81,48.08,47.53,48.02,16914967.923,8642586.089,8272381.834
1779181200000,48.01,48.32,47.57,47.89,11149168.796999998,5210946.828,5938221.969
1779184800000,47.88,48.42,47.75,48.34,17998674.152999997,9736883.019,8261791.134
1779188400000,48.34,48.78,47.55,47.76,20603411.654,10365061.079,10238350.575
1779192000000,47.75,47.96,47.23,47.78,24856308.452,12662369.795,12193938.657
1779195600000,47.78,48.48,47.49,48.42,21258359.259999998,9698282.828,11560076.432
1779199200000,48.43,48.48,47.41,47.54,24584729.36,11456966.483,13127762.877
1779202800000,47.53,48.0,47.36,47.81,26415001.577,12875170.939,13539830.638
1779206400000,47.8,48.37,47.66,48.23,15413037.779,7944594.537,7468443.242
1779210000000,48.24,48.91,48.24,48.65,14213949.467,7572118.445,6641831.022
1779213600000,48.65,48.71,48.14,48.19,25302533.638,13709621.572,11592912.066
1779217200000,48.18,48.76,48.13,48.72,13255001.416000001,6566422.048,6688579.368
1779220800000,48.73,48.74,47.98,48.16,14343912.072999999,7383112.488,6960799.585
1779224400000,48.17,48.4,47.81,47.96,10620218.456,4686681.494,5933536.962
1779228000000,47.96,48.11,47.65,47.96,5790809.112,2566803.458,3224005.654
1779231600000,47.96,48.39,47.91,48.04,6753661.353,3293274.447,3460386.906
1779235200000,48.03,48.06,47.1,47.61,7913997.140000001,3202597.547,4711399.593
1779238800000,47.61,47.81,47.22,47.65,15725542.427,7464133.191,8261409.236
1779242400000,47.64,47.81,47.38,47.7,12107796.366,5889385.862,6218410.504
1779246000000,47.69,47.95,47.39,47.44,8161376.59,4375898.129,3785478.461
1779249600000,47.45,48.32,47.33,48.29,7619070.646,3718097.528,3900973.118
1779253200000,48.3,48.65,47.91,48.35,14335460.366,8152454.656,6183005.71
1779256800000,48.35,48.68,48.28,48.49,27214412.274,14852699.049,12361713.225
1779260400000,48.49,48.66,48.23,48.45,13177068.54,6528322.849,6648745.691
1779264000000,48.45,48.85,48.42,48.55,14744904.793,6305557.205,8439347.588
1779267600000,48.56,49.3,48.47,48.95,17429286.1,8696007.719,8733278.381
