timestamp,open,high,low,close,volume,buy_vol,sell_vol,delta,cvd,trades
1781692860000,601.6,601.8,601.6,601.8,558.0,558.0,0.0,558.0,558.0,12
1781692920000,601.8,601.8,601.5,601.5,836.0,519.0,317.0,202.0,760.0,14
1781692980000,601.5,601.7,601.5,601.7,3193.0,3038.0,155.0,2883.0,3643.0,17
1781693040000,601.8,602.1,601.8,602.1,303.0,303.0,0.0,303.0,3946.0,14
1781693100000,602.0,602.3,602.0,602.3,1322.0,306.0,1016.0,-710.0,3236.0,13
1781693160000,602.3,602.4,602.3,602.4,764.0,100.0,664.0,-564.0,2672.0,11
1781693220000,602.4,602.4,602.0,602.2,6962.0,5843.0,1119.0,4724.0,7396.0,19
1781693280000,602.2,602.3,601.9,601.9,797.0,516.0,281.0,235.0,7631.0,8
1781693340000,601.9,601.9,601.4,601.6,2244.0,163.0,2081.0,-1918.0,5713.0,11
1781693400000,601.7,601.9,601.5,601.5,640.0,132.0,508.0,-376.0,5337.0,9
1781693460000,601.4,601.7,601.4,601.6,1836.0,625.0,1211.0,-586.0,4751.0,20
1781693520000,601.6,601.8,601.6,601.8,609.0,609.0,0.0,609.0,5360.0,8
1781693580000,601.9,601.9,601.5,601.5,1593.0,775.0,818.0,-43.0,5317.0,11
1781693640000,601.5,601.6,601.5,601.5,540.0,234.0,306.0,-72.0,5245.0,10
1781693700000,601.6,601.6,601.3,601.3,3375.0,47.0,3328.0,-3281.0,1964.0,13
1781693760000,601.2,601.2,601.1,601.2,7473.0,3248.0,4225.0,-977.0,987.0,10
1781693820000,601.2,601.2,601.1,601.2,306.0,69.0,237.0,-168.0,819.0,10
1781693880000,601.2,601.3,601.1,601.2,600.0,431.0,169.0,262.0,1081.0,22
1781693940000,601.3,601.6,601.2,601.6,2149.0,1721.0,428.0,1293.0,2374.0,19
1781694000000,601.6,602.0,601.6,601.9,2480.0,2356.0,124.0,2232.0,4606.0,34
1781694060000,601.8,601.9,601.6,601.8,3769.0,3321.0,448.0,2873.0,7479.0,14
1781694060000,601.9,601.9,601.6,601.8,4436.0,3636.0,800.0,2836.0,7442.0,29
1781694120000,601.7,601.7,601.3,601.3,7116.0,166.0,6950.0,-6784.0,658.0,24
1781694120000,601.7,601.7,601.3,601.3,7116.0,166.0,6950.0,-6784.0,695.0,24
1781694180000,601.4,601.5,601.2,601.2,2932.0,845.0,2087.0,-1242.0,-584.0,26
1781694180000,601.4,601.5,601.2,601.2,2932.0,845.0,2087.0,-1242.0,-547.0,26
1781694240000,601.3,601.3,601.1,601.1,4377.0,1857.0,2520.0,-663.0,-1247.0,30
1781694240000,601.3,601.3,601.1,601.1,4377.0,1857.0,2520.0,-663.0,-1210.0,30
1781694300000,601.0,601.0,600.5,600.9,29745.0,16324.0,13421.0,2903.0,1693.0,100
1781694300000,601.0,601.0,600.5,600.9,29745.0,16324.0,13421.0,2903.0,1656.0,100
1781694360000,600.9,602.1,600.9,602.1,38107.0,15968.0,22139.0,-6171.0,-4478.0,116
1781694360000,600.9,602.1,600.9,602.1,38107.0,15968.0,22139.0,-6171.0,-4515.0,116
1781694420000,602.1,602.6,602.0,602.5,3701.0,1746.0,1955.0,-209.0,-4724.0,41
1781694420000,602.1,602.6,602.0,602.5,3701.0,1746.0,1955.0,-209.0,-4687.0,41
1781694480000,602.4,602.7,602.3,602.4,2606.0,1309.0,1297.0,12.0,-4675.0,34
1781694480000,602.4,602.7,602.3,602.4,2606.0,1309.0,1297.0,12.0,-4712.0,34
1781694540000,602.3,602.7,602.3,602.5,17042.0,2957.0,14085.0,-11128.0,-15840.0,35
1781694540000,602.3,602.7,602.3,602.5,17042.0,2957.0,14085.0,-11128.0,-15803.0,35
1781694600000,602.4,603.0,602.4,603.0,12123.0,9269.0,2854.0,6415.0,-9425.0,42
1781694600000,602.4,603.0,602.4,603.0,12123.0,9269.0,2854.0,6415.0,-9388.0,42
1781694660000,603.0,603.0,602.4,602.8,5674.0,1884.0,3790.0,-1906.0,-11331.0,44
1781694660000,603.0,603.0,602.4,602.8,5674.0,1884.0,3790.0,-1906.0,-11294.0,44
1781694720000,602.7,602.8,602.6,602.6,3776.0,2620.0,1156.0,1464.0,-9867.0,30
1781694720000,602.7,602.8,602.6,602.6,3776.0,2620.0,1156.0,1464.0,-9830.0,30
1781694780000,602.6,602.7,602.5,602.5,3128.0,1327.0,1801.0,-474.0,-10341.0,20
1781694780000,602.6,602.7,602.5,602.5,3128.0,1327.0,1801.0,-474.0,-10304.0,20
1781694840000,602.5,602.5,602.0,602.2,17976.0,3194.0,14782.0,-11588.0,-21892.0,38
1781694840000,602.5,602.5,602.0,602.2,17976.0,3194.0,14782.0,-11588.0,-21929.0,38
1781694900000,602.2,602.3,601.9,602.1,6098.0,1749.0,4349.0,-2600.0,-24492.0,30
1781694900000,602.2,602.3,601.9,602.1,6098.0,1749.0,4349.0,-2600.0,-24529.0,30
1781694960000,602.0,602.1,601.8,602.1,1883.0,752.0,1131.0,-379.0,-24871.0,24
1781694960000,602.0,602.1,601.8,602.1,1883.0,752.0,1131.0,-379.0,-24908.0,24
1781695020000,602.0,602.1,601.4,601.4,17782.0,4044.0,13738.0,-9694.0,-34602.0,28
1781695020000,602.0,602.1,601.4,601.4,17782.0,4044.0,13738.0,-9694.0,-34565.0,28
1781695080000,601.4,601.7,601.3,601.7,30125.0,24965.0,5160.0,19805.0,-14760.0,48
1781695080000,601.4,601.7,601.3,601.7,30125.0,24965.0,5160.0,19805.0,-14797.0,48
1781695140000,601.6,602.5,601.6,602.5,2415.0,1913.0,502.0,1411.0,-13386.0,25
1781695140000,601.6,602.5,601.6,602.5,2415.0,1913.0,502.0,1411.0,-13349.0,25
1781695200000,602.5,603.0,602.4,602.9,5161.0,4604.0,557.0,4047.0,-9302.0,35
1781695200000,602.5,603.0,602.4,602.9,5161.0,4604.0,557.0,4047.0,-9339.0,35
1781695260000,602.8,603.0,602.8,602.9,1270.0,724.0,546.0,178.0,-9161.0,49
1781695260000,602.8,603.0,602.8,602.9,1270.0,724.0,546.0,178.0,-9124.0,49
1781695320000,603.0,603.1,602.6,602.6,6439.0,1015.0,5424.0,-4409.0,-13570.0,37
1781695320000,603.0,603.1,602.6,602.6,6439.0,1015.0,5424.0,-4409.0,-13533.0,37
1781695380000,602.5,602.5,602.4,602.5,2489.0,41.0,2448.0,-2407.0,-15977.0,18
1781695380000,602.5,602.5,602.4,602.5,2489.0,41.0,2448.0,-2407.0,-15940.0,18
1781695440000,602.4,602.5,602.1,602.2,7517.0,504.0,7013.0,-6509.0,-22449.0,38
1781695440000,602.4,602.5,602.1,602.2,7517.0,504.0,7013.0,-6509.0,-22486.0,38
1781695500000,602.1,602.7,602.1,602.6,1631.0,1248.0,383.0,865.0,-21584.0,22
1781695500000,602.1,602.7,602.1,602.6,1631.0,1248.0,383.0,865.0,-21621.0,22
1781695560000,602.5,603.0,602.5,603.0,2387.0,2364.0,23.0,2341.0,-19243.0,25
1781695560000,602.5,603.0,602.5,603.0,2387.0,2364.0,23.0,2341.0,-19280.0,25
1781695620000,602.9,603.5,602.9,603.5,4191.0,3072.0,1119.0,1953.0,-17290.0,30
1781695620000,602.9,603.5,602.9,603.5,4191.0,3072.0,1119.0,1953.0,-17327.0,30
1781695680000,603.4,603.4,603.0,603.1,1929.0,95.0,1834.0,-1739.0,-19066.0,23
1781695680000,603.4,603.4,603.0,603.1,1929.0,95.0,1834.0,-1739.0,-19029.0,23
1781695740000,603.0,603.3,602.9,602.9,2038.0,817.0,1221.0,-404.0,-19470.0,30
1781695740000,603.0,603.3,602.9,602.9,2038.0,817.0,1221.0,-404.0,-19433.0,30
